datetime,device,temperature,humidity
2026-03-13 07:32:50,防水温湿度計 箱の外 上,19.1,29
2026-03-13 07:32:50,防水温湿度計 上,24.1,91
2026-03-13 07:32:50,防水温湿度計 下,22.2,95
2026-03-13 08:09:41,防水温湿度計 箱の外 上,18.8,30
2026-03-13 08:09:41,防水温湿度計 上,19.1,73
2026-03-13 08:09:41,防水温湿度計 下,17.6,94
2026-03-13 08:56:43,防水温湿度計 箱の外 上,18.1,29
2026-03-13 08:56:43,防水温湿度計 上,20.6,92
2026-03-13 08:56:43,防水温湿度計 下,19.3,97
2026-03-13 09:27:16,防水温湿度計 箱の外 上,18.7,29
2026-03-13 09:27:16,防水温湿度計 上,21,90
2026-03-13 09:27:16,防水温湿度計 下,19.7,97
2026-03-13 09:50:22,防水温湿度計 箱の外 上,17.9,30
2026-03-13 09:50:22,防水温湿度計 上,21.2,90
2026-03-13 09:50:22,防水温湿度計 下,19.9,97
2026-03-13 11:07:31,防水温湿度計 箱の外 上,17.6,31
2026-03-13 11:07:31,防水温湿度計 上,21.3,90
2026-03-13 11:07:31,防水温湿度計 下,19.9,98
2026-03-13 11:59:34,防水温湿度計 箱の外 上,17.2,31
2026-03-13 11:59:34,防水温湿度計 上,21,88
2026-03-13 11:59:34,防水温湿度計 下,19.6,98
2026-03-13 14:31:18,防水温湿度計 箱の外 上,16.1,34
2026-03-13 14:31:18,防水温湿度計 上,20.6,89
2026-03-13 14:31:18,防水温湿度計 下,19.1,98
2026-03-13 16:06:22,防水温湿度計 箱の外 上,16.4,32
2026-03-13 16:06:22,防水温湿度計 上,20.4,87
2026-03-13 16:06:22,防水温湿度計 下,18.7,98
2026-03-13 17:54:16,防水温湿度計 箱の外 上,15.3,33
2026-03-13 17:54:16,防水温湿度計 上,20.1,85
2026-03-13 17:54:16,防水温湿度計 下,18.3,99
2026-03-13 19:47:26,防水温湿度計 箱の外 上,15.7,33
2026-03-13 19:47:26,防水温湿度計 上,20.2,82
2026-03-13 19:47:26,防水温湿度計 下,18.2,99
2026-03-13 21:04:22,防水温湿度計 箱の外 上,15.5,33
2026-03-13 21:04:22,防水温湿度計 上,20.2,80
2026-03-13 21:04:22,防水温湿度計 下,18,99
2026-03-13 22:00:33,防水温湿度計 箱の外 上,15.8,33
2026-03-13 22:00:33,防水温湿度計 上,20.2,78
2026-03-13 22:00:33,防水温湿度計 下,17.9,99
2026-03-13 22:59:57,防水温湿度計 箱の外 上,16.4,35
2026-03-13 22:59:57,防水温湿度計 上,20.5,78
2026-03-13 22:59:57,防水温湿度計 下,18.2,99
2026-03-13 23:56:05,防水温湿度計 箱の外 上,16.6,38
2026-03-13 23:56:05,防水温湿度計 上,21,81
2026-03-13 23:56:05,防水温湿度計 下,19,99
2026-03-14 05:02:35,防水温湿度計 箱の外 上,22,35
2026-03-14 05:02:35,防水温湿度計 上,23.7,82
2026-03-14 05:02:35,防水温湿度計 下,22.6,99
2026-03-14 07:24:19,防水温湿度計 箱の外 上,23.5,33
2026-03-14 07:24:19,防水温湿度計 上,24.8,81
2026-03-14 07:24:19,防水温湿度計 下,23.8,99
2026-03-14 08:01:37,防水温湿度計 箱の外 上,22.9,33
2026-03-14 08:01:37,防水温湿度計 上,24.8,79
2026-03-14 08:01:37,防水温湿度計 下,23.7,98
2026-03-14 09:09:39,防水温湿度計 箱の外 上,21.3,33
2026-03-14 09:09:39,防水温湿度計 上,24.3,78
2026-03-14 09:09:39,防水温湿度計 下,22.9,98
2026-03-14 09:50:29,防水温湿度計 箱の外 上,20.4,34
2026-03-14 09:50:29,防水温湿度計 上,23.7,76
2026-03-14 09:50:29,防水温湿度計 下,22.5,98
